# device profiles: one block per voltage, blank-line separated
# block header lines start with '# V ='
# x[m] n[m-3] p[m-3] phi[V] E[V/m] R[m-3s-1] mun[m2/Vs] mup[m2/Vs] nt[m-3] pt[m-3] Jn[A/m2] Jp[A/m2]
# V = 0.000000
7.300000e-08 1.258678e+10 6.643202e-11 -2.846475e+00 -2.302182e+07 0.000000e+00 2.943425e-08 2.943425e-09 0.000000e+00 0.000000e+00 1.273567e-24 7.095342e-45
7.366667e-08 2.279018e+10 3.668972e-11 -2.831127e+00 -2.302182e+07 0.000000e+00 2.943425e-08 2.943425e-09 0.000000e+00 0.000000e+00 -1.751138e-23 3.232102e-45
7.433333e-08 4.126490e+10 2.026335e-11 -2.815780e+00 -2.302182e+07 0.000000e+00 2.943425e-08 2.943425e-09 0.000000e+00 0.000000e+00 5.791093e-24 -3.673539e-45
7.500000e-08 7.471605e+10 1.119124e-11 -2.800432e+00 -2.302182e+07 0.000000e+00 2.943425e-08 2.943425e-09 0.000000e+00 0.000000e+00 2.922422e-23 -2.664531e-46
7.566667e-08 1.352842e+11 6.180806e-12 -2.785084e+00 -2.302182e+07 0.000000e+00 2.943425e-08 2.943425e-09 0.000000e+00 0.000000e+00 -8.505137e-23 -1.845278e-46
7.633333e-08 2.449515e+11 3.413595e-12 -2.769736e+00 -2.302182e+07 0.000000e+00 2.943425e-08 2.943425e-09 0.000000e+00 0.000000e+00 -3.337578e-23 -1.965865e-47
7.700000e-08 4.435200e+11 1.885293e-12 -2.754388e+00 -2.302182e+07 0.000000e+00 2.943425e-08 2.943425e-09 0.000000e+00 0.000000e+00 4.710274e-23 2.038746e-46
7.766667e-08 8.030568e+11 1.041228e-12 -2.739040e+00 -2.302182e+07 0.000000e+00 2.943425e-08 2.943425e-09 0.000000e+00 0.000000e+00 2.293327e-22 1.578777e-47
7.833333e-08 1.454050e+12 5.750594e-13 -2.723692e+00 -2.302182e+07 0.000000e+00 2.943425e-08 2.943425e-09 0.000000e+00 0.000000e+00 2.254642e-22 -1.178251e-47
7.900000e-08 2.632767e+12 3.175994e-13 -2.708344e+00 -2.302182e+07 0.000000e+00 2.943425e-08 2.943425e-09 0.000000e+00 0.000000e+00 1.935740e-22 -3.433206e-47
